name,description,name,description,latitude,longitude
Eabametoong First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn183.html"">ACP Community Profile</a>]]>",Eabametoong First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn183.html"">ACP Community Profile</a>]]>",51.559,-87.888
Eagle Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn148.html"">ACP Community Profile</a>]]>",Eagle Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn148.html"">ACP Community Profile</a>]]>",49.745,-93.055
Flying Post,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn227.html"">ACP Community Profile</a>]]>",Flying Post,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn227.html"">ACP Community Profile</a>]]>",48.531,-82.017
Fort Severn,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn215.html"">ACP Community Profile</a>]]>",Fort Severn,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn215.html"">ACP Community Profile</a>]]>",55.994,-87.619
Fort William,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn187.html"">ACP Community Profile</a>]]>",Fort William,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn187.html"">ACP Community Profile</a>]]>",48.308,-89.266
Garden River First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn199.html"">ACP Community Profile</a>]]>",Garden River First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn199.html"">ACP Community Profile</a>]]>",46.551,-84.149
Ginoogaming First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn185.html"">ACP Community Profile</a>]]>",Ginoogaming First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn185.html"">ACP Community Profile</a>]]>",49.729,-86.512
Grassy Narrows First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn149.html"">ACP Community Profile</a>]]>",Grassy Narrows First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn149.html"">ACP Community Profile</a>]]>",50.183,-94.037
Gull Bay,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn188.html"">ACP Community Profile</a>]]>",Gull Bay,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn188.html"">ACP Community Profile</a>]]>",49.817,-89.101
Henvey Inlet First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn231.html"">ACP Community Profile</a>]]>",Henvey Inlet First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn231.html"">ACP Community Profile</a>]]>",45.868,-80.662
Hiawatha First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn162.html"">ACP Community Profile</a>]]>",Hiawatha First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn162.html"">ACP Community Profile</a>]]>",44.185,-78.219
Iskatewizaagegan #39 Independent First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn154.html"">ACP Community Profile</a>]]>",Iskatewizaagegan #39 Independent First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn154.html"">ACP Community Profile</a>]]>",49.653,-95.098
Kasabonika Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn210.html"">ACP Community Profile</a>]]>",Kasabonika Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn210.html"">ACP Community Profile</a>]]>",53.613,-88.661
Kashechewan,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn243.html"">ACP Community Profile</a>]]>",Kashechewan,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn243.html"">ACP Community Profile</a>]]>",52.2915,-81.6523
Kee-Way-Win,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn325.html"">ACP Community Profile</a>]]>",Kee-Way-Win,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn325.html"">ACP Community Profile</a>]]>",52.999,-92.801
Kingfisher,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn212.html"">ACP Community Profile</a>]]>",Kingfisher,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn212.html"">ACP Community Profile</a>]]>",53.027,-89.841
Kitchenuhmaykoosib Inninuwug,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn209.html"">ACP Community Profile</a>]]>",Kitchenuhmaykoosib Inninuwug,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn209.html"">ACP Community Profile</a>]]>",53.817,-89.875
Konadaha Seneca,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn251.html"">ACP Community Profile</a>]]>",Konadaha Seneca,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn251.html"">ACP Community Profile</a>]]>",43.0371,-80.0888
Lac Des Mille Lacs,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn189.html"">ACP Community Profile</a>]]>",Lac Des Mille Lacs,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn189.html"">ACP Community Profile</a>]]>",49.021,-90.892
Lac La Croix,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn127.html"">ACP Community Profile</a>]]>",Lac La Croix,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn127.html"">ACP Community Profile</a>]]>",48.388,-92.078
Lac Seul,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn205.html"">ACP Community Profile</a>]]>",Lac Seul,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn205.html"">ACP Community Profile</a>]]>",50.245,-92.328
Long Lake No.58 First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn184.html"">ACP Community Profile</a>]]>",Long Lake No.58 First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn184.html"">ACP Community Profile</a>]]>",49.792,-86.563
Lower Cayuga,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn250.html"">ACP Community Profile</a>]]>",Lower Cayuga,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn250.html"">ACP Community Profile</a>]]>",43.0271,-80.0613
