name,description,latitude,longitude
Hupacasath First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn664.html"">ACP Community Profile</a>]]>",49.259,-124.826
Huu-ay-aht First Nations,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn663.html"">ACP Community Profile</a>]]>",48.801,-125.123
Iskut,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn683.html"">ACP Community Profile</a>]]>",57.843,-129.984
Ka:&apos;yu:&apos;k&apos;t&apos;h&apos;/Che:k:tles7et&apos;h&apos; First Nations,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn638.html"">ACP Community Profile</a>]]>",50.029,-127.376
Kamloops,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn688.html"">ACP Community Profile</a>]]>",50.727,-120.216
Kanaka Bar,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn704.html"">ACP Community Profile</a>]]>",50.111,-121.562
Katzie,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn563.html"">ACP Community Profile</a>]]>",49.205,-122.672
Kispiox,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn532.html"">ACP Community Profile</a>]]>",55.349,-127.696
Kitamaat,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn676.html"">ACP Community Profile</a>]]>",53.973,-128.648
Kitasoo,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn540.html"">ACP Community Profile</a>]]>",52.583,-128.533
Kitselas,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn680.html"">ACP Community Profile</a>]]>",54.491,-128.584
Kitsumkalum,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn681.html"">ACP Community Profile</a>]]>",54.527,-128.671
Klahoose First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn553.html"">ACP Community Profile</a>]]>",50.128,-124.936
Kluskus,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn721.html"">ACP Community Profile</a>]]>",53.089,-124.489
Kwadacha,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn610.html"">ACP Community Profile</a>]]>",57.429,-125.641
Kwakiutl,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn626.html"">ACP Community Profile</a>]]>",50.694,-127.412
Kwantlen First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn564.html"">ACP Community Profile</a>]]>",49.174,-122.562
Kwaw-kwaw-Apilt,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn580.html"">ACP Community Profile</a>]]>",49.163,-121.983
Kwiakah,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn628.html"">ACP Community Profile</a>]]>",50.424,-125.159
Kwicksutaineuk-ah-kwaw-ah-mish,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn625.html"">ACP Community Profile</a>]]>",50.696,-126.599
Kwikwetlem First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn560.html"">ACP Community Profile</a>]]>",49.231,-122.808
Lake Babine Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn607.html"">ACP Community Profile</a>]]>",54.2385,-125.7625
Lake Cowichan First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn643.html"">ACP Community Profile</a>]]>",48.827,-124.073
Lax-kw&apos;alaams,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn674.html"">ACP Community Profile</a>]]>",54.551,-130.417
Leq&apos; a: mel First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn579.html"">ACP Community Profile</a>]]>",49.185,-122.077
Lheidli T&apos;enneh,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn611.html"">ACP Community Profile</a>]]>",54.014,-122.626
Little Shuswap Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn689.html"">ACP Community Profile</a>]]>",50.879,-119.603
Lower Kootenay,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn606.html"">ACP Community Profile</a>]]>",49.065,-116.535
Lower Nicola,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn695.html"">ACP Community Profile</a>]]>",50.182,-120.844
Lower Similkameen,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn598.html"">ACP Community Profile</a>]]>",49.034,-119.722
Lyackson,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn646.html"">ACP Community Profile</a>]]>",49.042,-123.639
Lytton,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn705.html"">ACP Community Profile</a>]]>",50.261,-121.591
Malahat First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn647.html"">ACP Community Profile</a>]]>",48.621,-123.531
Mamalilikulla-Qwe&apos;Qwa&apos;Sot&apos;Em,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn629.html"">ACP Community Profile</a>]]>",50.595,-126.683
Matsqui,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn565.html"">ACP Community Profile</a>]]>",49.107,-122.348
McLeod Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn618.html"">ACP Community Profile</a>]]>",54.988,-123.032
